Account Name,VPC Name,Cloud Provider,Region Name,Availability Zone,Region CIDR,VPC CIDR,AZ CIDR,Subnet CIDR,Subnet Role,Usable IPs
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-1,us-west-1c,10.100.16.0/21,10.100.0.0/16,10.100.17.0/24,10.100.17.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2a,10.100.24.0/21,10.100.0.0/16,10.100.24.0/24,10.100.24.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2a,10.100.24.0/21,10.100.0.0/16,10.100.24.0/24,10.100.24.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2a,10.100.24.0/21,10.100.0.0/16,10.100.24.0/24,10.100.24.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2a,10.100.24.0/21,10.100.0.0/16,10.100.24.0/24,10.100.24.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2b,10.100.24.0/21,10.100.0.0/16,10.100.25.0/24,10.100.25.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2b,10.100.24.0/21,10.100.0.0/16,10.100.25.0/24,10.100.25.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2b,10.100.24.0/21,10.100.0.0/16,10.100.25.0/24,10.100.25.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2b,10.100.24.0/21,10.100.0.0/16,10.100.25.0/24,10.100.25.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2c,10.100.24.0/21,10.100.0.0/16,10.100.26.0/24,10.100.26.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2c,10.100.24.0/21,10.100.0.0/16,10.100.26.0/24,10.100.26.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2c,10.100.24.0/21,10.100.0.0/16,10.100.26.0/24,10.100.26.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,us-west-2,us-west-2c,10.100.24.0/21,10.100.0.0/16,10.100.26.0/24,10.100.26.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1a,10.100.32.0/21,10.100.0.0/16,10.100.32.0/24,10.100.32.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1a,10.100.32.0/21,10.100.0.0/16,10.100.32.0/24,10.100.32.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1a,10.100.32.0/21,10.100.0.0/16,10.100.32.0/24,10.100.32.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1a,10.100.32.0/21,10.100.0.0/16,10.100.32.0/24,10.100.32.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1b,10.100.32.0/21,10.100.0.0/16,10.100.33.0/24,10.100.33.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1b,10.100.32.0/21,10.100.0.0/16,10.100.33.0/24,10.100.33.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1b,10.100.32.0/21,10.100.0.0/16,10.100.33.0/24,10.100.33.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1b,10.100.32.0/21,10.100.0.0/16,10.100.33.0/24,10.100.33.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1d,10.100.32.0/21,10.100.0.0/16,10.100.34.0/24,10.100.34.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1d,10.100.32.0/21,10.100.0.0/16,10.100.34.0/24,10.100.34.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1d,10.100.32.0/21,10.100.0.0/16,10.100.34.0/24,10.100.34.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ca-central-1,ca-central-1d,10.100.32.0/21,10.100.0.0/16,10.100.34.0/24,10.100.34.112/29,Transit,6
